ticker,name_short,sector,n_matches,n_articles,n_weeks_nonzero,first_match,last_match,share_code_match,share_weekend
1616,億泰,電器電纜,40,40,33,2015-05-14 15:55:35,2024-11-21 22:22:04,0.425,0.075
2906,高林,貿易百貨,39,39,28,2015-07-01 21:59:40,2024-11-14 14:00:02,0.6153846153846154,0.10256410256410256
2438,翔耀,光電,39,39,27,2015-06-04 21:03:13,2024-12-23 17:54:57,0.6923076923076923,0.15384615384615385
6790,永豐實,造紙,39,39,32,2015-06-09 08:30:02,2024-11-09 00:56:06,0.7435897435897436,0.05128205128205128
2414,精技,電子通路,39,39,30,2015-12-14 16:47:18,2024-06-11 09:09:52,0.4358974358974359,0.28205128205128205
1506,正道,電機機械,37,37,27,2017-07-12 10:04:57,2024-11-19 23:19:32,1.0,0.10810810810810811
2010,春源,鋼鐵,37,37,25,2015-06-27 09:38:17,2024-11-07 10:41:26,1.0,0.10810810810810811
2816,旺旺保,金融,37,37,34,2016-01-09 19:50:20,2024-07-02 17:16:09,0.6216216216216216,0.35135135135135137
1203,味王,食品,36,36,24,2015-05-13 18:44:04,2024-12-03 23:56:25,1.0,0.08333333333333333
1339,昭輝,汽車,36,36,32,2015-09-29 18:46:29,2024-05-14 07:58:08,0.9166666666666666,0.16666666666666666
2704,國賓,觀光餐旅,35,35,31,2017-03-31 09:37:52,2024-05-23 11:49:13,1.0,0.2
2390,云辰,其他電子,33,33,27,2015-05-08 22:53:05,2024-04-24 22:08:00,1.0,0.06060606060606061
6890,來億-KY,運動休閒,33,33,24,2016-12-13 08:30:02,2025-01-14 14:00:02,0.6666666666666666,0.15151515151515152
1817,凱撒衛,玻璃,33,33,30,2015-05-17 04:15:59,2024-05-19 22:15:35,0.8181818181818182,0.30303030303030304
2107,厚生,橡膠,32,32,28,2015-04-28 20:59:46,2024-12-24 15:46:48,0.625,0.21875
1512,瑞利,汽車,31,31,28,2015-05-29 21:13:51,2024-09-12 13:47:47,0.6451612903225806,0.03225806451612903
6165,浪凡,數位雲端,31,31,24,2015-09-07 09:55:59,2024-10-21 14:00:04,0.8387096774193549,0.12903225806451613
1108,幸福,水泥,30,30,20,2015-08-25 23:30:24,2024-11-08 22:57:48,1.0,0.03333333333333333
4536,拓凱,運動休閒,30,30,26,2015-05-08 22:53:05,2024-04-22 12:46:42,0.8333333333333334,0.06666666666666667
2908,特力,貿易百貨,30,30,29,2015-06-22 23:28:22,2024-08-02 23:52:01,1.0,0.06666666666666667
2012,春雨,鋼鐵,30,30,28,2016-06-29 20:40:04,2025-01-02 20:35:36,1.0,0.06666666666666667
3054,立萬利,電子通路,29,29,19,2015-08-04 20:57:45,2022-08-22 16:06:40,0.5172413793103449,0.10344827586206896
2072,世紀風電,綠能環保,29,29,26,2016-02-22 19:38:58,2024-12-07 16:14:08,0.3448275862068966,0.20689655172413793
1809,中釉,玻璃,29,29,20,2015-08-29 11:30:51,2024-11-22 14:00:03,0.6551724137931034,0.10344827586206896
2706,第一店,觀光餐旅,28,28,24,2015-08-21 17:08:37,2024-04-14 14:53:19,1.0,0.2857142857142857
2114,鑫永銓,橡膠,27,27,25,2015-05-05 08:30:02,2024-12-18 20:44:19,0.6296296296296297,0.2222222222222222
1733,五鼎,生技,27,27,24,2015-09-24 06:38:42,2024-12-10 13:30:41,0.8888888888888888,0.1111111111111111
6689,伊雲谷,數位雲端,26,26,22,2015-10-13 16:03:45,2025-01-03 22:26:17,0.4230769230769231,0.15384615384615385
2429,銘旺科,光電,26,26,19,2015-09-07 16:46:16,2025-01-21 20:53:40,0.6923076923076923,0.07692307692307693
1517,利奇,電機機械,26,26,22,2015-05-14 15:49:18,2024-08-05 19:18:51,1.0,0.11538461538461539
