ticker,month,n_matches
1409,2021-10,2
1409,2021-11,1
1409,2021-12,2
1409,2022-01,1
1409,2022-02,1
1409,2022-03,3
1409,2022-05,2
1409,2022-08,1
1409,2022-12,2
1409,2023-03,1
1409,2023-05,3
1409,2023-06,4
1409,2024-03,2
1409,2024-04,2
1409,2024-05,1
1409,2024-07,2
1409,2024-08,1
1409,2024-10,1
1409,2025-01,1
1410,2015-05,2
1410,2016-07,1
1410,2017-02,1
1410,2018-08,1
1410,2018-12,1
1410,2019-01,1
1410,2019-04,1
1410,2019-07,1
1410,2019-10,1
1410,2019-12,1
1410,2020-07,1
1410,2021-01,1
1410,2021-02,1
1410,2021-10,1
1410,2022-08,1
1410,2023-05,1
1410,2023-07,1
1410,2024-07,1
1410,2024-11,1
1413,2015-06,2
1413,2015-12,1
1413,2020-08,2
1413,2020-09,1
1413,2020-11,1
1413,2021-01,1
1413,2021-02,1
1413,2021-03,2
1413,2021-04,1
1413,2021-05,1
1413,2021-07,1
1413,2021-10,1
1413,2021-11,1
1413,2021-12,1
1413,2022-01,3
1413,2022-03,4
1413,2022-04,2
1413,2022-05,2
1413,2022-06,1
1413,2022-07,2
1413,2022-08,7
1413,2022-09,3
1413,2022-11,2
1413,2022-12,2
1413,2023-01,1
1413,2023-02,2
1413,2023-03,1
1413,2023-04,1
1413,2023-05,1
1413,2023-07,2
1413,2024-04,2
1413,2024-06,1
1413,2024-10,1
1413,2024-11,1
1413,2025-01,1
1414,2015-05,1
1414,2015-08,2
1414,2016-07,1
1414,2017-04,1
1414,2017-11,2
1414,2018-04,1
1414,2019-05,1
1414,2021-04,1
1414,2021-06,1
1414,2021-11,2
1414,2021-12,1
1414,2022-04,1
1414,2022-11,1
1414,2023-02,1
1417,2015-05,1
1417,2015-06,1
1417,2015-07,1
1417,2015-08,1
1417,2015-12,2
1417,2016-03,1
1417,2016-05,1
1417,2017-05,1
1417,2018-05,1
1417,2018-09,1
1417,2019-03,2
1417,2019-10,1
1417,2020-04,2
1417,2020-09,4
1417,2020-11,1
1417,2021-01,1
1417,2021-03,2
1417,2021-04,2
1417,2021-05,2
1417,2021-06,2
1417,2021-07,1
1417,2022-01,1
1417,2022-02,1
1417,2022-05,1
1417,2022-11,1
1417,2022-12,1
1417,2023-01,1
1417,2023-02,1
1417,2023-04,1
1417,2023-07,1
1417,2024-03,1
1418,2015-08,1
1418,2020-02,1
1418,2020-03,2
1418,2022-05,1
1418,2022-12,1
1418,2023-01,1
1418,2024-03,1
1419,2015-09,1
1419,2016-08,1
1419,2017-04,1
1419,2017-10,2
1419,2018-03,2
1419,2019-03,1
1419,2021-04,1
1419,2021-06,1
1419,2021-11,1
1419,2022-12,1
1423,2016-05,1
1423,2022-03,1
1423,2022-10,1
1423,2022-12,1
1423,2023-01,1
1423,2023-04,1
1423,2023-05,1
1423,2024-04,1
1423,2024-06,1
1432,2015-05,1
1432,2015-07,1
1432,2015-11,1
1432,2016-05,2
1432,2016-08,1
1432,2017-07,1
1432,2017-12,1
1432,2019-07,1
1432,2020-06,1
1432,2020-08,1
